2026-05-05 20:21:47 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [512_single_run:QueryProcessingActor-2] Initializing new inference engine (config hash: c5e4979e)
2026-05-05 20:21:47 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [512_single_run:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-05 20:21:47 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [512_single_run:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 20:21:47 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [512_single_run:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-05 20:21:47 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [512_single_run:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-05 20:21:47 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [512_single_run:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-05 20:21:47 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:21:49 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [512_single_run:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-05 20:21:49 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 3 for shard 0 (1 batches)
2026-05-05 20:21:50 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [512_single_run:QueryProcessingActor-3] Initializing new inference engine (config hash: c5e4979e)
2026-05-05 20:21:50 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [512_single_run:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-05 20:21:50 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [512_single_run:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 20:21:50 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [512_single_run:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-05 20:21:50 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [512_single_run:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-05 20:21:50 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [512_single_run:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-05 20:21:50 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:21:52 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [512_single_run:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-05 20:24:53 | Controller | INFO | controller.py:1299 | [512_single_run:Controller] Pipeline 3 completed shard 0 (1 batches, 185.61s)
2026-05-05 20:24:53 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 1 for shard 1 (1 batches)
2026-05-05 20:24:53 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_single_run:QueryProcessingActor-1] Reusing existing inference engine (config hash: c5e4979e)
2026-05-05 20:24:53 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_single_run:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-05 20:24:53 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_single_run:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 20:24:53 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_single_run:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-05 20:24:53 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_single_run:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-05 20:24:53 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_single_run:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-05 20:24:53 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:24:55 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_single_run:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-05 20:24:55 | Controller | INFO | controller.py:1299 | [512_single_run:Controller] Pipeline 2 completed shard 0 (1 batches, 190.06s)
2026-05-05 20:24:55 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 1 (1 batches)
2026-05-05 20:24:55 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_single_run:QueryProcessingActor-0] Reusing existing inference engine (config hash: c5e4979e)
2026-05-05 20:24:55 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_single_run:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 20:24:55 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_single_run:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 20:24:55 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_single_run:QueryProcessingActor-0] Deserializing FAISS index for this actor...
