2026-05-04 20:46:53 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [temp0.2_512:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-04 20:46:53 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [temp0.2_512:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 20:46:53 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [temp0.2_512:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-04 20:46:53 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [temp0.2_512:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-04 20:46:53 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [temp0.2_512:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-04 20:46:53 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 20:46:55 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [temp0.2_512:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-04 20:47:00 | Controller | INFO | controller.py:1299 | [temp0.2_512:Controller] Pipeline 12 completed shard 0 (1 batches, 801.90s)
2026-05-04 20:47:00 | Controller | INFO | controller.py:1422 | [temp0.2_512:Controller] Scheduling pipeline 12 (Pipeline 12) on actor 3 for shard 1 (1 batches)
2026-05-04 20:47:00 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [temp0.2_512:QueryProcessingActor-3] Reusing existing inference engine (config hash: 20729a26)
2026-05-04 20:47:00 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [temp0.2_512:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-04 20:47:00 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [temp0.2_512:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 20:47:00 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [temp0.2_512:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-04 20:47:00 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [temp0.2_512:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-04 20:47:00 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [temp0.2_512:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-04 20:47:00 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 20:47:02 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [temp0.2_512:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-04 20:47:48 | Controller | INFO | controller.py:1299 | [temp0.2_512:Controller] Pipeline 9 completed shard 1 (1 batches, 385.92s)
2026-05-04 20:47:48 | Controller | INFO | controller.py:1422 | [temp0.2_512:Controller] Scheduling pipeline 9 (Pipeline 9) on actor 0 for shard 2 (1 batches)
2026-05-04 20:47:48 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [temp0.2_512:QueryProcessingActor-0] Reusing existing inference engine (config hash: 20729a26)
2026-05-04 20:47:49 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.2_512:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 20:47:49 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.2_512:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 20:47:49 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.2_512:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 20:47:49 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.2_512:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 20:47:49 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.2_512:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-04 20:47:49 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 20:47:51 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.2_512:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
