2026-05-01 21:40:28 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experimentOscar_1:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-01 21:40:28 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experimentOscar_1:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 21:40:28 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experimentOscar_1:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-01 21:40:28 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experimentOscar_1:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-01 21:40:28 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experimentOscar_1:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-01 21:40:28 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 21:40:30 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experimentOscar_1:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-01 21:42:44 | Controller | INFO | controller.py:1299 | [experimentOscar_1:Controller] Pipeline 7 completed shard 0 (1 batches, 407.39s)
2026-05-01 21:42:44 | Controller | INFO | controller.py:1422 | [experimentOscar_1:Controller] Scheduling pipeline 11 (Pipeline 11) on actor 0 for shard 0 (1 batches)
2026-05-01 21:42:44 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experimentOscar_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 565f69a7)
2026-05-01 21:42:44 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentOscar_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-01 21:42:44 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentOscar_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 21:42:44 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentOscar_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 21:42:44 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentOscar_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 21:42:44 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentOscar_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity_score_threshold
2026-05-01 21:42:44 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 21:42:45 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentOscar_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 21:47:33 | Controller | INFO | controller.py:1299 | [experimentOscar_1:Controller] Pipeline 8 completed shard 0 (1 batches, 580.76s)
2026-05-01 21:47:33 | Controller | INFO | controller.py:1422 | [experimentOscar_1:Controller] Scheduling pipeline 12 (Pipeline 12) on actor 3 for shard 0 (1 batches)
2026-05-01 21:47:33 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [experimentOscar_1:QueryProcessingActor-3] Reusing existing inference engine (config hash: 565f69a7)
2026-05-01 21:47:33 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [experimentOscar_1:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-01 21:47:33 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [experimentOscar_1:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 21:47:33 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [experimentOscar_1:QueryProcessingActor-3] Deserializing FAISS index for this actor...
