2026-05-06 20:16:52 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_32_temp1:QueryProcessingActor-1] Reusing existing inference engine (config hash: 69426b2c)
2026-05-06 20:16:52 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_32_temp1:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-06 20:16:52 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_32_temp1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 20:16:52 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_32_temp1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-06 20:16:52 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_32_temp1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-06 20:16:52 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_32_temp1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-06 20:16:52 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 20:16:54 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_32_temp1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-06 20:23:38 | Controller | INFO | controller.py:1299 | [512_32_temp1:Controller] Pipeline 1 completed shard 1 (1 batches, 464.95s)
2026-05-06 20:23:38 | Controller | INFO | controller.py:1422 | [512_32_temp1:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 0 for shard 1 (1 batches)
2026-05-06 20:23:38 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_32_temp1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 69426b2c)
2026-05-06 20:23:38 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 20:23:38 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 20:23:38 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 20:23:38 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 20:23:38 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 20:23:39 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 20:23:41 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 20:23:44 | Controller | INFO | controller.py:1299 | [512_32_temp1:Controller] Pipeline 7 completed shard 0 (1 batches, 951.62s)
2026-05-06 20:24:18 | Controller | INFO | controller.py:1299 | [512_32_temp1:Controller] Pipeline 8 completed shard 0 (1 batches, 934.78s)
2026-05-06 20:24:21 | Controller | INFO | controller.py:1299 | [512_32_temp1:Controller] Pipeline 2 completed shard 1 (1 batches, 444.29s)
2026-05-06 20:24:21 | Controller | INFO | controller.py:1422 | [512_32_temp1:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 1 for shard 1 (1 batches)
2026-05-06 20:24:21 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_32_temp1:QueryProcessingActor-1] Reusing existing inference engine (config hash: 69426b2c)
2026-05-06 20:24:21 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_32_temp1:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-06 20:24:21 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_32_temp1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 20:24:21 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_32_temp1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-06 20:24:21 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_32_temp1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-06 20:24:21 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_32_temp1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
