2026-05-01 20:00:35 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 20:00:37 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experimentOscar_3:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-01 20:06:49 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experimentOscar_3:QueryProcessingActor-0] Reusing existing inference engine (config hash: b0be3d17)
2026-05-01 20:06:49 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 20:06:51 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentOscar_3:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 20:06:51 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentOscar_3:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 20:06:51 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentOscar_3:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 20:06:51 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentOscar_3:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 20:06:51 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentOscar_3:QueryProcessingActor-0] Recreated retriever with search_type=mmr
2026-05-01 20:06:51 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 20:06:53 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentOscar_3:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 20:06:58 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [experimentOscar_3:QueryProcessingActor-1] Reusing existing inference engine (config hash: b0be3d17)
2026-05-01 20:06:58 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 20:07:00 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experimentOscar_3:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 20:07:00 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experimentOscar_3:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 20:07:00 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experimentOscar_3:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-01 20:07:00 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experimentOscar_3:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-01 20:07:00 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experimentOscar_3:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-01 20:07:00 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 20:07:02 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experimentOscar_3:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-01 20:13:19 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experimentOscar_3:QueryProcessingActor-0] Reusing existing inference engine (config hash: b0be3d17)
2026-05-01 20:13:20 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 20:13:22 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentOscar_3:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 20:13:22 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentOscar_3:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 20:13:22 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentOscar_3:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 20:13:22 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentOscar_3:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 20:13:22 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentOscar_3:QueryProcessingActor-0] Recreated retriever with search_type=mmr
2026-05-01 20:13:22 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 20:13:24 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentOscar_3:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 20:13:24 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [experimentOscar_3:QueryProcessingActor-1] Reusing existing inference engine (config hash: b0be3d17)
2026-05-01 20:13:24 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 20:13:26 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experimentOscar_3:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 20:13:26 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experimentOscar_3:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 20:13:26 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experimentOscar_3:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-01 20:13:26 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experimentOscar_3:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-01 20:13:26 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experimentOscar_3:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-01 20:13:26 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 20:13:28 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experimentOscar_3:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
