2026-05-04 18:50:20 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 18:50:22 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [temp0.5retry_1:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-04 19:51:28 | ExperimentUtils | INFO | experiment_utils.py:180 | [temp0.5retry_1:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-04 19:51:28 | ExperimentUtils | INFO | experiment_utils.py:188 | [temp0.5retry_1:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-04 19:51:28 | ExperimentUtils | INFO | experiment_utils.py:154 | [temp0.5retry_1:ExperimentUtils] Experiment temp0.5retry_1 ended
2026-05-04 19:51:28 | Experiment | INFO | experiment.py:165 | [temp0.5retry_2:Experiment] The previously running experiment temp0.5retry_1 was forcibly ended. Created a new experiment 'temp0.5retry_2' with Experiment ID: 18 at /home/ayliang/rapidfireai/rapidfire_experiments/temp0.5retry_2
2026-05-04 19:51:46 | Experiment | INFO | metric_rfmetric_manager.py:55 | [temp0.5retry_2:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-04 19:51:46 | Experiment | INFO | metric_rfmetric_manager.py:119 | [temp0.5retry_2:Experiment] Creating MLflow experiment: temp0.5retry_2
2026-05-04 19:51:46 | Experiment | INFO | experiment.py:210 | [temp0.5retry_2:Experiment] Initialized MetricLogger experiment: 16
2026-05-04 19:51:46 | Experiment | INFO | experiment.py:226 | [temp0.5retry_2:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-04 19:51:47 | Experiment | WARNING | experiment.py:381 | [temp0.5retry_2:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-04 19:51:47 | Experiment | INFO | experiment.py:383 | [temp0.5retry_2:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-04 19:51:47 | Experiment | INFO | experiment.py:392 | [temp0.5retry_2:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-04 19:51:47 | Controller | INFO | controller.py:895 | [temp0.5retry_2:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-04 19:51:47 | Controller | INFO | controller.py:900 | [temp0.5retry_2:Controller] Received 8 pipeline configuration(s)
2026-05-04 19:51:47 | Controller | INFO | controller.py:309 | [temp0.5retry_2:Controller] Found 2 unique RAG context(s)
2026-05-04 19:51:47 | Controller | INFO | controller.py:320 | [temp0.5retry_2:Controller] Will build new context 8e09e0ea...
2026-05-04 19:51:47 | Controller | INFO | controller.py:320 | [temp0.5retry_2:Controller] Will build new context 5382770d...
2026-05-04 19:51:47 | Controller | INFO | controller.py:346 | [temp0.5retry_2:Controller] Building 2 context(s) in parallel...
2026-05-04 19:51:47 | Controller | INFO | controller.py:373 | [temp0.5retry_2:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-04 19:51:49 | Controller | INFO | controller.py:461 | [temp0.5retry_2:Controller] Submitted 2 build task(s) in parallel
2026-05-04 19:52:20 | Controller | INFO | controller.py:482 | [temp0.5retry_2:Controller] Built context 1 (8e09e0ea...) successfully in 32.71s
2026-05-04 19:52:20 | Controller | INFO | controller.py:482 | [temp0.5retry_2:Controller] Built context 2 (5382770d...) successfully in 32.74s
2026-05-04 19:52:20 | Controller | INFO | controller.py:523 | [temp0.5retry_2:Controller] Completed parallel context building for 2 context(s)
2026-05-04 19:52:20 | Controller | INFO | controller.py:920 | [temp0.5retry_2:Controller] Created 4 query processing actors (generic pool)
2026-05-04 19:52:20 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry_2:Experiment] Created MLflow run: f4d1a269e1204a2fac741771f1304603, 1
2026-05-04 19:52:20 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry_2:Experiment] Created MLflow run: e9ac2539ebda4ecda49c9a601f4c2541, 2
2026-05-04 19:52:20 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry_2:Experiment] Created MLflow run: c4c640444fab461895168fce509f7096, 3
2026-05-04 19:52:20 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry_2:Experiment] Created MLflow run: 59eb032eac0e45e8b1fe352633c17bb2, 4
2026-05-04 19:52:21 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry_2:Experiment] Created MLflow run: dddd9e958d9044729cc37741cf511cee, 5
2026-05-04 19:52:21 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry_2:Experiment] Created MLflow run: df4d2390dd784a89af4cbe68dd06ad58, 6
2026-05-04 19:52:21 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry_2:Experiment] Created MLflow run: d3257c5836704f5fbf09197380596efe, 7
2026-05-04 19:52:21 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry_2:Experiment] Created MLflow run: e463ab460da7496e8336ce1a64c9af4a, 8
2026-05-04 19:52:21 | Controller | INFO | controller.py:931 | [temp0.5retry_2:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-04 19:52:21 | Controller | INFO | controller.py:1118 | [temp0.5retry_2:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-04 19:52:21 | Controller | INFO | controller.py:1124 | [temp0.5retry_2:Controller] Starting multi-pipeline inference scheduling...
2026-05-04 19:52:21 | Controller | INFO | controller.py:1422 | [temp0.5retry_2:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-04 19:52:45 | Controller | INFO | controller.py:1422 | [temp0.5retry_2:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-04 19:52:47 | Controller | INFO | controller.py:1422 | [temp0.5retry_2:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
