2026-05-01 20:35:29 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 20:35:31 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentOscar:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 20:35:31 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentOscar:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 20:35:31 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentOscar:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 20:35:31 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentOscar:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 20:35:31 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentOscar:QueryProcessingActor-0] Recreated retriever with search_type=similarity_score_threshold
2026-05-01 20:35:31 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 20:35:32 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentOscar:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 20:35:43 | Controller | INFO | controller.py:1299 | [experimentOscar:Controller] Pipeline 4 completed shard 0 (1 batches, 522.31s)
2026-05-01 20:35:43 | Controller | INFO | controller.py:1422 | [experimentOscar:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 3 for shard 0 (1 batches)
2026-05-01 20:35:43 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [experimentOscar:QueryProcessingActor-3] Reusing existing inference engine (config hash: 366007d7)
2026-05-01 20:35:43 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 20:35:45 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [experimentOscar:QueryProcessingActor-3] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 20:35:45 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [experimentOscar:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 20:35:45 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [experimentOscar:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-01 20:35:45 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [experimentOscar:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-01 20:35:45 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [experimentOscar:QueryProcessingActor-3] Recreated retriever with search_type=similarity_score_threshold
2026-05-01 20:35:45 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 20:35:47 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [experimentOscar:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-01 20:35:56 | Controller | INFO | controller.py:1299 | [experimentOscar:Controller] Pipeline 3 completed shard 0 (1 batches, 539.55s)
2026-05-01 20:35:56 | Controller | INFO | controller.py:1422 | [experimentOscar:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 2 for shard 0 (1 batches)
2026-05-01 20:35:56 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [experimentOscar:QueryProcessingActor-2] Reusing existing inference engine (config hash: 366007d7)
2026-05-01 20:35:56 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experimentOscar:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-01 20:35:56 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experimentOscar:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 20:35:56 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experimentOscar:QueryProcessingActor-2] Deserializing FAISS index for this actor...
