2026-05-07 11:29:10 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp1_4:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 11:30:31 | Controller | INFO | controller.py:1299 | [512_32_temp1_4:Controller] Pipeline 1 completed shard 1 (1 batches, 87.83s)
2026-05-07 11:30:31 | Controller | INFO | controller.py:1422 | [512_32_temp1_4:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 1 for shard 1 (1 batches)
2026-05-07 11:30:31 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_32_temp1_4:QueryProcessingActor-1] Reusing existing inference engine (config hash: 0293601a)
2026-05-07 11:30:31 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_32_temp1_4:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 11:30:31 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_32_temp1_4:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 11:30:31 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_32_temp1_4:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 11:30:31 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_32_temp1_4:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 11:30:31 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_32_temp1_4:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 11:30:31 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 11:30:33 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_32_temp1_4:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 11:30:39 | Controller | INFO | controller.py:1299 | [512_32_temp1_4:Controller] Pipeline 7 completed shard 0 (1 batches, 349.41s)
2026-05-07 11:30:40 | Controller | INFO | controller.py:1299 | [512_32_temp1_4:Controller] Pipeline 8 completed shard 0 (1 batches, 347.16s)
2026-05-07 11:30:40 | Controller | INFO | controller.py:1422 | [512_32_temp1_4:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 2 for shard 1 (1 batches)
2026-05-07 11:30:40 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [512_32_temp1_4:QueryProcessingActor-2] Reusing existing inference engine (config hash: 0293601a)
2026-05-07 11:30:40 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [512_32_temp1_4:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 11:30:40 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [512_32_temp1_4:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 11:30:40 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [512_32_temp1_4:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 11:30:40 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [512_32_temp1_4:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 11:30:40 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [512_32_temp1_4:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 11:30:40 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 11:30:42 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [512_32_temp1_4:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 11:30:42 | Controller | INFO | controller.py:1422 | [512_32_temp1_4:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 3 for shard 1 (1 batches)
2026-05-07 11:30:42 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [512_32_temp1_4:QueryProcessingActor-3] Reusing existing inference engine (config hash: 0293601a)
2026-05-07 11:30:42 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [512_32_temp1_4:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-07 11:30:42 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [512_32_temp1_4:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 11:30:42 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [512_32_temp1_4:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-07 11:30:42 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [512_32_temp1_4:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-07 11:30:42 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [512_32_temp1_4:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-07 11:30:42 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
