2026-05-07 13:06:12 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 13:06:12 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 13:06:12 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 13:06:12 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 13:06:12 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 13:06:14 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 13:06:21 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs_1:Controller] Pipeline 2 completed shard 0 (1 batches, 214.89s)
2026-05-07 13:06:21 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs_1:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 1 for shard 0 (1 batches)
2026-05-07 13:06:21 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Reusing existing inference engine (config hash: 56874b2d)
2026-05-07 13:06:21 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 13:06:21 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 13:06:21 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 13:06:21 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 13:06:21 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 13:06:21 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 13:06:23 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 13:07:00 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs_1:Controller] Pipeline 3 completed shard 0 (1 batches, 251.06s)
2026-05-07 13:07:00 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs_1:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 2 for shard 0 (1 batches)
2026-05-07 13:07:00 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Reusing existing inference engine (config hash: 56874b2d)
2026-05-07 13:07:00 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 13:07:00 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 13:07:00 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 13:07:00 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 13:07:00 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 13:07:00 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 13:07:02 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 13:07:09 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs_1:Controller] Pipeline 4 completed shard 0 (1 batches, 257.72s)
2026-05-07 13:07:09 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs_1:Controller] Scheduling pipeline 8 (Pipeline 8) on actor 3 for shard 0 (1 batches)
2026-05-07 13:07:09 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Reusing existing inference engine (config hash: 56874b2d)
2026-05-07 13:07:09 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-07 13:07:09 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 13:07:09 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-07 13:07:09 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-07 13:07:09 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-07 13:07:09 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 13:07:11 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-07 13:18:00 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs_1:Controller] Pipeline 5 completed shard 0 (1 batches, 705.67s)
2026-05-07 13:18:00 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs_1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-07 13:18:00 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 56874b2d)
2026-05-07 13:18:00 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 13:18:00 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 13:18:00 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 13:18:00 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 13:18:00 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 13:18:00 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 13:18:02 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
