2026-05-02 00:29:09 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 2 completed shard 2 (1 batches, 509.39s)
2026-05-02 00:29:09 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 3 (1 batches)
2026-05-02 00:32:20 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 4 completed shard 2 (1 batches, 493.53s)
2026-05-02 00:32:20 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 1 for shard 3 (1 batches)
2026-05-02 00:38:03 | Controller | INFO | controller.py:1192 | [experiment_exploration_2:Controller] Pipeline 2 completed all 4 shards
2026-05-02 00:38:04 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 2 completed shard 3 (1 batches, 529.96s)
2026-05-02 00:40:02 | Controller | INFO | controller.py:1192 | [experiment_exploration_2:Controller] Pipeline 4 completed all 4 shards
2026-05-02 00:40:02 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 4 completed shard 3 (1 batches, 457.93s)
2026-05-02 00:40:02 | Controller | INFO | controller.py:1386 | [experiment_exploration_2:Controller] All pipelines completed all shards!
2026-05-02 00:40:02 | Controller | INFO | controller.py:695 | [experiment_exploration_2:Controller] Computing final metrics for all pipelines...
2026-05-02 00:40:03 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experiment_exploration_2:Experiment] Ending run: a0f41220bdc04ab38cec314bc53e4d21, 1 in rf_mlflow
2026-05-02 00:40:03 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experiment_exploration_2:Experiment] Run a0f41220bdc04ab38cec314bc53e4d21 is not the active run, no local context to clear
2026-05-02 00:40:03 | Controller | INFO | controller.py:853 | [experiment_exploration_2:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-02 00:40:03 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experiment_exploration_2:Experiment] Ending run: 6c2a89b6a1c949fda9add286ef9e308a, 2 in rf_mlflow
2026-05-02 00:40:03 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experiment_exploration_2:Experiment] Run 6c2a89b6a1c949fda9add286ef9e308a is not the active run, no local context to clear
2026-05-02 00:40:03 | Controller | INFO | controller.py:853 | [experiment_exploration_2:Controller] Pipeline 2 (Pipeline 2) completed successfully
2026-05-02 00:40:03 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experiment_exploration_2:Experiment] Ending run: a38616f4d22c40c0b976278aea89d6f2, 3 in rf_mlflow
2026-05-02 00:40:03 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experiment_exploration_2:Experiment] Run a38616f4d22c40c0b976278aea89d6f2 is not the active run, no local context to clear
2026-05-02 00:40:03 | Controller | INFO | controller.py:853 | [experiment_exploration_2:Controller] Pipeline 3 (Pipeline 3) completed successfully
2026-05-02 00:40:04 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experiment_exploration_2:Experiment] Ending run: 187b67a1902f43e3acc5580f58237d65, 4 in rf_mlflow
2026-05-02 00:40:04 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experiment_exploration_2:Experiment] Run 187b67a1902f43e3acc5580f58237d65 is not the active run, no local context to clear
2026-05-02 00:40:04 | Controller | INFO | controller.py:853 | [experiment_exploration_2:Controller] Pipeline 4 (Pipeline 4) completed successfully
2026-05-02 00:40:04 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_exploration_2:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-02 00:40:04 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_exploration_2:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-02 00:40:04 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_exploration_2:ExperimentUtils] Experiment experiment_exploration_2 ended
2026-05-02 00:40:07 | Experiment | INFO | experiment.py:574 | [experiment_exploration_2:Experiment] All actors shut down
2026-05-02 00:40:07 | Experiment | INFO | experiment.py:575 | [experiment_exploration_2:Experiment] Dispatcher will automatically shut down (daemon thread)
