2026-05-07 21:43:25 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 21:43:25 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 21:43:25 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 21:43:25 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:43:27 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 21:43:28 | Controller | INFO | controller.py:1299 | [otran_aliang_final_config_ws:Controller] Pipeline 2 completed shard 1 (1 batches, 141.52s)
2026-05-07 21:43:28 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 1 for shard 1 (1 batches)
2026-05-07 21:43:28 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Reusing existing inference engine (config hash: 64cb8bc2)
2026-05-07 21:43:28 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:43:28 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:43:28 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 21:43:28 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 21:43:28 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 21:43:28 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:43:30 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 21:44:55 | Controller | INFO | controller.py:1299 | [otran_aliang_final_config_ws:Controller] Pipeline 7 completed shard 0 (1 batches, 917.38s)
2026-05-07 21:44:55 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 2 for shard 1 (1 batches)
