2026-05-03 19:49:00 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 3 for shard 0 (1 batches)
2026-05-03 19:49:15 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 3 completed shard 0 (1 batches, 325.20s)
2026-05-03 19:49:15 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 8 (Pipeline 8) on actor 2 for shard 0 (1 batches)
2026-05-03 19:53:32 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 5 completed shard 0 (1 batches, 416.52s)
2026-05-03 19:53:32 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-03 19:54:21 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 6 completed shard 0 (1 batches, 446.31s)
2026-05-03 19:54:21 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 1 (1 batches)
2026-05-03 19:56:26 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 1 completed shard 1 (1 batches, 171.21s)
2026-05-03 19:56:26 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 0 for shard 1 (1 batches)
2026-05-03 19:57:38 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 2 completed shard 1 (1 batches, 194.74s)
2026-05-03 19:57:38 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 1 for shard 1 (1 batches)
2026-05-03 20:00:08 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 3 completed shard 1 (1 batches, 219.32s)
2026-05-03 20:00:08 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 0 for shard 1 (1 batches)
2026-05-03 20:02:40 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 7 completed shard 0 (1 batches, 817.62s)
2026-05-03 20:02:40 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 3 for shard 1 (1 batches)
2026-05-03 20:02:52 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 8 completed shard 0 (1 batches, 814.03s)
2026-05-03 20:02:52 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 2 for shard 1 (1 batches)
2026-05-03 20:02:57 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 4 completed shard 1 (1 batches, 316.83s)
2026-05-03 20:02:57 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 8 (Pipeline 8) on actor 1 for shard 1 (1 batches)
2026-05-03 20:06:28 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 5 completed shard 1 (1 batches, 377.44s)
2026-05-03 20:06:28 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-03 20:09:03 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 1 completed shard 2 (1 batches, 152.57s)
2026-05-03 20:09:03 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 2 (1 batches)
2026-05-03 20:09:22 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 6 completed shard 1 (1 batches, 399.02s)
