2026-05-01 22:21:16 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_exploration:QueryProcessingActor-0] Reusing existing inference engine (config hash: bd74b5a8)
2026-05-01 22:21:16 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:21:18 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_exploration:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 22:21:18 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_exploration:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 22:21:18 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_exploration:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 22:21:18 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_exploration:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 22:21:18 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_exploration:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-01 22:21:18 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 22:21:20 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_exploration:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 22:40:00 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_exploration:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-01 22:40:00 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_exploration:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-01 22:40:00 | Experiment | INFO | experiment.py:165 | [experiment_exploration:Experiment] Experiment experiment_exploration is currently running. Returning the same experiment object.
2026-05-01 22:40:00 | Experiment | INFO | experiment.py:165 | [experiment_exploration:Experiment] Any running tasks have been cancelled.
2026-05-01 22:40:18 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_exploration:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-01 22:40:18 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_exploration:Experiment] Creating MLflow experiment: experiment_exploration
2026-05-01 22:40:18 | Experiment | WARNING | experiment.py:212 | [experiment_exploration:Experiment] Failed to initialize MetricLogger: RESOURCE_ALREADY_EXISTS: Experiment(name=experiment_exploration) already exists. Error: (sqlite3.IntegrityError) UNIQUE constraint failed: experiments.workspace, experiments.name
[SQL: INSERT INTO experiments (name, workspace, artifact_location, lifecycle_stage, creation_time, last_update_time) VALUES (?, ?, ?, ?, ?, ?)]
[parameters: ('experiment_exploration', 'default', '', 'active', 1777700418921, 1777700418921)]
(Background on this error at: https://sqlalche.me/e/20/gkpj). MetricLogger logging will be disabled.
2026-05-01 22:40:18 | Experiment | INFO | experiment.py:226 | [experiment_exploration:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-01 22:40:21 | Experiment | WARNING | experiment.py:381 | [experiment_exploration:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-01 22:40:21 | Experiment | INFO | experiment.py:383 | [experiment_exploration:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-01 22:40:21 | Experiment | INFO | experiment.py:392 | [experiment_exploration:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-01 22:40:21 | Controller | INFO | controller.py:895 | [experiment_exploration:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-01 22:40:21 | Controller | INFO | controller.py:900 | [experiment_exploration:Controller] Received 4 pipeline configuration(s)
2026-05-01 22:40:21 | Controller | INFO | controller.py:309 | [experiment_exploration:Controller] Found 1 unique RAG context(s)
2026-05-01 22:40:21 | Controller | INFO | controller.py:320 | [experiment_exploration:Controller] Will build new context bc9b4c46...
2026-05-01 22:40:21 | Controller | INFO | controller.py:346 | [experiment_exploration:Controller] Building 1 context(s) in parallel...
2026-05-01 22:40:21 | Controller | INFO | controller.py:373 | [experiment_exploration:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-01 22:40:22 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-01 22:40:23 | Controller | INFO | controller.py:461 | [experiment_exploration:Controller] Submitted 1 build task(s) in parallel
2026-05-01 22:40:43 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration:DocProcessingActor] DocProcessingActor initialized
2026-05-01 22:40:44 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-01 22:40:44 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration:DocProcessingActor] Building document index...
2026-05-01 22:40:44 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:40:48 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 22:41:09 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration:DocProcessingActor] Document index built successfully
2026-05-01 22:41:09 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-01 22:41:09 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration:DocProcessingActor] FAISS index serialized: 1051556 bytes
2026-05-01 22:41:09 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-01 22:41:09 | Controller | INFO | controller.py:482 | [experiment_exploration:Controller] Built context 1 (bc9b4c46...) successfully in 47.24s
2026-05-01 22:41:09 | Controller | INFO | controller.py:523 | [experiment_exploration:Controller] Completed parallel context building for 1 context(s)
2026-05-01 22:41:09 | Controller | INFO | controller.py:920 | [experiment_exploration:Controller] Created 4 query processing actors (generic pool)
2026-05-01 22:41:09 | Controller | INFO | controller.py:931 | [experiment_exploration:Controller] Initialized scheduler with 4 pipelines, 4 actors, 4 shards
2026-05-01 22:41:09 | Controller | INFO | controller.py:1118 | [experiment_exploration:Controller] Created experiment-wide rate limiter actor for 4 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-01 22:41:09 | Controller | INFO | controller.py:1124 | [experiment_exploration:Controller] Starting multi-pipeline inference scheduling...
2026-05-01 22:41:09 | Controller | INFO | controller.py:1422 | [experiment_exploration:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 0 for shard 0 (1 batches)
