2026-05-07 12:08:18 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [otran_aliang_final_configs:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 12:08:18 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [otran_aliang_final_configs:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-07 12:08:18 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [otran_aliang_final_configs:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-07 12:08:18 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [otran_aliang_final_configs:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-07 12:08:18 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 12:08:20 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [otran_aliang_final_configs:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-07 12:11:52 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs:Controller] Pipeline 1 completed shard 0 (1 batches, 218.48s)
2026-05-07 12:11:52 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 0 for shard 0 (1 batches)
2026-05-07 12:11:52 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [otran_aliang_final_configs:QueryProcessingActor-0] Reusing existing inference engine (config hash: f2fafd19)
2026-05-07 12:11:52 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_configs:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 12:11:52 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_configs:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 12:11:52 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_configs:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 12:11:52 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_configs:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 12:11:52 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_configs:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 12:11:52 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 12:11:54 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_configs:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 12:11:59 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs:Controller] Pipeline 2 completed shard 0 (1 batches, 223.55s)
2026-05-07 12:11:59 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 1 for shard 0 (1 batches)
2026-05-07 12:11:59 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [otran_aliang_final_configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: f2fafd19)
2026-05-07 12:11:59 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [otran_aliang_final_configs:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 12:11:59 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [otran_aliang_final_configs:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 12:11:59 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [otran_aliang_final_configs:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 12:11:59 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [otran_aliang_final_configs:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 12:11:59 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [otran_aliang_final_configs:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 12:11:59 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 12:12:01 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [otran_aliang_final_configs:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 12:12:49 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs:Controller] Pipeline 4 completed shard 0 (1 batches, 268.17s)
2026-05-07 12:12:49 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 3 for shard 0 (1 batches)
2026-05-07 12:12:49 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [otran_aliang_final_configs:QueryProcessingActor-3] Reusing existing inference engine (config hash: f2fafd19)
2026-05-07 12:12:49 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [otran_aliang_final_configs:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-07 12:12:49 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [otran_aliang_final_configs:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 12:12:49 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [otran_aliang_final_configs:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-07 12:12:49 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [otran_aliang_final_configs:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-07 12:12:49 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [otran_aliang_final_configs:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-07 12:12:49 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 12:12:51 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [otran_aliang_final_configs:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-07 12:13:01 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs:Controller] Pipeline 3 completed shard 0 (1 batches, 283.16s)
2026-05-07 12:13:01 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs:Controller] Scheduling pipeline 8 (Pipeline 8) on actor 2 for shard 0 (1 batches)
2026-05-07 12:13:01 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [otran_aliang_final_configs:QueryProcessingActor-2] Reusing existing inference engine (config hash: f2fafd19)
2026-05-07 12:13:01 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [otran_aliang_final_configs:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
