2026-05-06 05:21:46 | Controller | INFO | controller.py:1192 | [experiment_hybrid_7:Controller] Pipeline 1 completed all 4 shards
2026-05-06 05:21:46 | Controller | INFO | controller.py:1299 | [experiment_hybrid_7:Controller] Pipeline 1 completed shard 3 (1 batches, 585.14s)
2026-05-06 05:21:46 | Controller | INFO | controller.py:1386 | [experiment_hybrid_7:Controller] All pipelines completed all shards!
2026-05-06 05:21:46 | Controller | INFO | controller.py:695 | [experiment_hybrid_7:Controller] Computing final metrics for all pipelines...
2026-05-06 05:21:47 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experiment_hybrid_7:Experiment] Ending run: 413b5d9ec0fe4928a59898fa2edbdd39, 1 in rf_mlflow
2026-05-06 05:21:47 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experiment_hybrid_7:Experiment] Run 413b5d9ec0fe4928a59898fa2edbdd39 is not the active run, no local context to clear
2026-05-06 05:21:47 | Controller | INFO | controller.py:853 | [experiment_hybrid_7:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-06 05:21:47 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_7:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-06 05:21:47 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_7:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-06 05:21:47 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_hybrid_7:ExperimentUtils] Experiment experiment_hybrid_7 ended
2026-05-06 05:21:50 | Experiment | INFO | experiment.py:574 | [experiment_hybrid_7:Experiment] All actors shut down
2026-05-06 05:21:50 | Experiment | INFO | experiment.py:575 | [experiment_hybrid_7:Experiment] Dispatcher will automatically shut down (daemon thread)
