2026-05-07 17:15:12 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [goldentest:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 17:15:12 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [goldentest:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 17:15:12 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 17:15:14 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [goldentest:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 17:15:31 | Controller | INFO | controller.py:1299 | [goldentest:Controller] Pipeline 3 completed shard 0 (1 batches, 493.72s)
2026-05-07 17:15:31 | Controller | INFO | controller.py:1422 | [goldentest:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 1 (1 batches)
2026-05-07 17:15:31 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [goldentest:QueryProcessingActor-2] Reusing existing inference engine (config hash: adec4f70)
2026-05-07 17:15:31 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [goldentest:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 17:15:31 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [goldentest:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 17:15:31 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [goldentest:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 17:15:31 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [goldentest:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 17:15:31 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [goldentest:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 17:15:31 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 17:15:33 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [goldentest:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 17:22:30 | Controller | INFO | controller.py:1299 | [goldentest:Controller] Pipeline 1 completed shard 1 (1 batches, 447.97s)
2026-05-07 17:22:30 | Controller | INFO | controller.py:1422 | [goldentest:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-07 17:22:30 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [goldentest:QueryProcessingActor-0] Reusing existing inference engine (config hash: adec4f70)
2026-05-07 17:22:30 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [goldentest:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 17:22:30 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [goldentest:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 17:22:30 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [goldentest:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 17:22:30 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [goldentest:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 17:22:30 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [goldentest:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 17:22:30 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 17:22:32 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [goldentest:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 17:22:54 | Controller | INFO | controller.py:1299 | [goldentest:Controller] Pipeline 2 completed shard 1 (1 batches, 459.05s)
2026-05-07 17:22:54 | Controller | INFO | controller.py:1422 | [goldentest:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 2 (1 batches)
2026-05-07 17:22:54 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [goldentest:QueryProcessingActor-1] Reusing existing inference engine (config hash: adec4f70)
2026-05-07 17:22:54 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [goldentest:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 17:22:54 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [goldentest:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 17:22:54 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [goldentest:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 17:22:54 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [goldentest:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 17:22:54 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [goldentest:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 17:22:54 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 17:22:56 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [goldentest:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 17:23:13 | Controller | INFO | controller.py:1299 | [goldentest:Controller] Pipeline 3 completed shard 1 (1 batches, 458.84s)
2026-05-07 17:23:13 | Controller | INFO | controller.py:1422 | [goldentest:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 2 (1 batches)
2026-05-07 17:23:13 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [goldentest:QueryProcessingActor-2] Reusing existing inference engine (config hash: adec4f70)
2026-05-07 17:23:13 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [goldentest:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 17:23:13 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [goldentest:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 17:23:13 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [goldentest:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 17:23:13 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [goldentest:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 17:23:13 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [goldentest:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 17:23:13 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 17:23:15 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [goldentest:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 17:30:49 | Controller | INFO | controller.py:1299 | [goldentest:Controller] Pipeline 1 completed shard 2 (1 batches, 495.66s)
2026-05-07 17:30:49 | Controller | INFO | controller.py:1422 | [goldentest:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-07 17:30:49 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [goldentest:QueryProcessingActor-0] Reusing existing inference engine (config hash: adec4f70)
2026-05-07 17:30:49 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [goldentest:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 17:30:49 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [goldentest:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 17:30:49 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [goldentest:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 17:30:49 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [goldentest:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 17:30:49 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [goldentest:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 17:30:49 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 17:30:51 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [goldentest:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 17:31:19 | Controller | INFO | controller.py:1299 | [goldentest:Controller] Pipeline 2 completed shard 2 (1 batches, 502.39s)
2026-05-07 17:31:19 | Controller | INFO | controller.py:1422 | [goldentest:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 3 (1 batches)
